StateFIPS,State,Sex,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
46,SD,F,6.5%,7.1%,6.8%,7.0%,6.4%,5.7%,6.2%,6.4%,5.9%,5.0%,5.3%,6.1%,6.7%,5.9%,5.1%,2.7%,2.3%,2.9%
47,TN,T,5.7%,6.1%,6.4%,6.4%,6.4%,6.8%,6.7%,6.7%,6.3%,6.1%,6.4%,6.4%,6.7%,5.7%,4.8%,3.0%,1.9%,1.6%
47,TN,M,5.9%,6.4%,6.6%,6.6%,6.6%,7.0%,6.6%,6.7%,6.4%,6.1%,6.6%,6.4%,6.5%,5.5%,4.6%,2.8%,1.6%,1.2%
47,TN,F,5.5%,5.8%,6.1%,6.3%,6.2%,6.7%,6.7%,6.6%,6.2%,6.0%,6.3%,6.4%,6.9%,6.0%,4.9%,3.3%,2.2%,2.0%
48,TX,T,6.4%,7.0%,7.5%,7.2%,6.8%,7.1%,7.3%,7.2%,6.8%,6.2%,6.1%,5.7%,5.5%,4.5%,3.7%,2.3%,1.4%,1.2%
48,TX,M,6.6%,7.2%,7.6%,7.5%,7.0%,7.1%,7.5%,7.3%,6.9%,6.2%,6.1%,5.7%,5.4%,4.3%,3.4%,2.1%,1.3%,0.9%
48,TX,F,6.2%,6.7%,7.4%,7.0%,6.6%,7.0%,7.2%,7.1%,6.7%,6.2%,6.0%,5.8%,5.6%,4.7%,4.0%,2.5%,1.6%,1.6%
49,UT,T,7.0%,7.9%,8.3%,8.1%,8.4%,7.5%,7.0%,7.1%,6.8%,5.7%,5.1%,4.7%,4.7%,4.0%,3.2%,2.0%,1.2%,1.1%
49,UT,M,7.2%,8.1%,8.4%,8.2%,8.5%,7.7%,7.0%,7.4%,6.8%,5.7%,5.1%,4.6%,4.5%,4.0%,2.9%,1.8%,1.1%,1.0%
49,UT,F,6.9%,7.7%,8.2%,8.0%,8.3%,7.4%,7.0%,6.9%,6.9%,5.6%,5.1%,4.7%,4.9%,4.1%,3.5%,2.2%,1.4%,1.3%
50,VT,T,4.2%,4.7%,5.8%,6.5%,7.1%,5.9%,6.0%,6.4%,5.8%,5.5%,6.6%,7.3%,7.7%,7.1%,5.7%,3.5%,2.2%,2.1%
50,VT,M,4.4%,5.2%,5.8%,6.7%,7.4%,5.9%,6.2%,6.0%,6.0%,5.5%,6.7%,7.2%,7.5%,6.8%,5.8%,3.2%,1.9%,1.7%
