,Cases,Deaths,Population
2022-09-22,0,0,3080156
2022-09-23,0,0,3080156
2022-09-24,0,0,3080156
2022-09-25,0,0,3080156
2022-09-26,0,0,3080156
2022-09-27,0,0,3080156
2022-09-28,441,26,3080156
2022-09-29,0,0,3080156
2022-09-30,0,0,3080156
2022-10-01,0,0,3080156
2022-10-02,0,0,3080156
2022-10-03,0,0,3080156
2022-10-04,0,0,3080156
2022-10-05,950,15,3080156
2022-10-06,0,0,3080156
2022-10-07,0,0,3080156
2022-10-08,0,0,3080156
2022-10-09,0,0,3080156
2022-10-10,0,0,3080156
2022-10-11,0,0,3080156
2022-10-12,773,15,3080156
2022-10-13,0,0,3080156
2022-10-14,0,0,3080156
2022-10-15,0,0,3080156
2022-10-16,0,0,3080156
2022-10-17,0,0,3080156
2022-10-18,0,0,3080156
2022-10-19,1525,13,3080156
2022-10-20,0,0,3080156
2022-10-21,0,0,3080156
2022-10-22,0,0,3080156
2022-10-23,0,0,3080156
2022-10-24,0,0,3080156
2022-10-25,0,0,3080156
2022-10-26,1469,11,3080156
2022-10-27,0,0,3080156
2022-10-28,0,0,3080156
2022-10-29,0,0,3080156
2022-10-30,0,0,3080156
2022-10-31,0,0,3080156
2022-11-01,0,0,3080156
2022-11-02,1076,15,3080156
2022-11-03,0,0,3080156
2022-11-04,0,0,3080156
2022-11-05,0,0,3080156
2022-11-06,0,0,3080156
2022-11-07,0,0,3080156
2022-11-08,0,0,3080156
2022-11-09,2303,10,3080156
2022-11-10,0,0,3080156
2022-11-11,0,0,3080156
2022-11-12,0,0,3080156
2022-11-13,0,0,3080156
2022-11-14,0,0,3080156
2022-11-15,0,0,3080156
2022-11-16,1998,20,3080156
2022-11-17,0,0,3080156
2022-11-18,0,0,3080156
2022-11-19,0,0,3080156
2022-11-20,0,0,3080156
2022-11-21,0,0,3080156
2022-11-22,0,0,3080156
2022-11-23,1999,24,3080156
2022-11-24,0,0,3080156
2022-11-25,0,0,3080156
2022-11-26,0,0,3080156
2022-11-27,0,0,3080156
2022-11-28,0,0,3080156
2022-11-29,0,0,3080156
2022-11-30,2628,6,3080156
2022-12-01,0,0,3080156
2022-12-02,0,0,3080156
2022-12-03,0,0,3080156
2022-12-04,0,0,3080156
2022-12-05,0,0,3080156
2022-12-06,0,0,3080156
2022-12-07,0,0,3080156
2022-12-08,0,0,3080156
2022-12-09,3832,27,3080156
2022-12-10,0,0,3080156
2022-12-11,0,0,3080156
2022-12-12,0,0,3080156
2022-12-13,0,0,3080156
2022-12-14,0,0,3080156
2022-12-15,0,0,3080156
2022-12-16,2865,20,3080156
2022-12-17,0,0,3080156
2022-12-18,0,0,3080156
2022-12-19,0,0,3080156
2022-12-20,0,0,3080156
2022-12-21,2376,28,3080156
2022-12-22,0,0,3080156
2022-12-23,0,0,3080156
2022-12-24,0,0,3080156
2022-12-25,0,0,3080156
2022-12-26,0,0,3080156
2022-12-27,0,0,3080156
2022-12-28,0,0,3080156
2022-12-29,0,0,3080156
2022-12-30,1958,46,3080156
2022-12-31,0,0,3080156
